ODR: 104, G_FS: 245, A_FS: 2
GX; GY; GZ; AX; AY; AZ
2968; -3086; -3086; 353; -15153; 2715
4891; -18418; 2615; 595; -15105; 1732
1741; -26543; 10173; 628; -16140; 1814
4059; -11803; -880; 629; -16156; 2008
617; -471; -709; 645; -16159; 2006
623; -486; -705; 654; -16185; 2007
624; -497; -700; 641; -16170; 2008
633; -488; -698; 640; -16174; 1969
625; -490; -699; 639; -16178; 1974
618; -493; -707; 645; -16166; 1986
625; -499; -706; 647; -16174; 1983
627; -493; -695; 649; -16185; 1981
635; -494; -693; 634; -16184; 1976
634; -495; -701; 638; -16169; 1986
621; -491; -698; 654; -16176; 1981
616; -496; -695; 649; -16188; 1981
618; -489; -702; 654; -16181; 1975
616; -483; -705; 663; -16175; 1973
627; -490; -702; 649; -16183; 1981
626; -487; -704; 650; -16183; 1973
628; -487; -702; 652; -16168; 1959
634; -513; -711; 630; -16177; 1964
631; -498; -695; 614; -16217; 1968
614; -486; -699; 646; -16197; 1983
621; -480; -688; 647; -16185; 1980
621; -476; -691; 659; -16179; 1978
620; -482; -692; 630; -16193; 1991
624; -483; -694; 644; -16179; 1979
626; -493; -697; 631; -16187; 1977
625; -500; -694; 657; -16183; 1976
617; -500; -694; 645; -16186; 1979
630; -485; -687; 653; -16181; 1981
624; -488; -693; 649; -16186; 1989
623; -493; -698; 645; -16193; 1997
624; -482; -697; 647; -16140; 2045
623; -489; -697; 637; -16148; 2004
629; -489; -696; 635; -16177; 2008
620; -477; -701; 647; -16183; 2016
622; -493; -697; 653; -16185; 1985
627; -499; -697; 642; -16176; 2012
635; -489; -701; 652; -16167; 1989
629; -491; -698; 640; -16192; 1983
612; -498; -700; 646; -16181; 1986
620; -502; -694; 642; -16187; 1990
621; -499; -697; 645; -16171; 2000
615; -486; -694; 649; -16179; 2004
623; -484; -698; 647; -16185; 1999
632; -490; -696; 655; -16218; 1973
622; -487; -701; 656; -16197; 1984
629; -477; -690; 652; -16269; 1982
625; -486; -703; 655; -16184; 1998
635; -483; -700; 646; -16187; 1989
627; -474; -694; 644; -16169; 1990
624; -492; -701; 643; -16178; 1992
617; -487; -701; 651; -16177; 2013
615; -490; -694; 647; -16176; 2017
616; -489; -699; 652; -16183; 2004
621; -489; -688; 653; -16182; 2002
620; -487; -693; 644; -16175; 2000
627; -481; -700; 647; -16181; 2012
621; -480; -688; 625; -16175; 2028
622; -497; -689; 670; -16182; 2070
627; -491; -698; 632; -16180; 1984
618; -462; -688; 651; -16172; 2030
624; -494; -696; 656; -16181; 2015
623; -486; -703; 651; -16181; 2015
623; -479; -692; 643; -16179; 2021
621; -497; -694; 648; -16181; 2006
634; -501; -692; 643; -16187; 2003
630; -491; -694; 643; -16177; 2027
632; -487; -693; 640; -16177; 2027
627; -484; -700; 650; -16180; 2005
635; -495; -699; 643; -16185; 2032
626; -484; -706; 654; -16186; 2010
616; -485; -696; 664; -16158; 2025
623; -489; -695; 666; -16165; 2055
626; -479; -700; 657; -16210; 1998
618; -471; -697; 660; -16169; 2060
633; -485; -696; 647; -16164; 2027
625; -487; -701; 651; -16175; 2019
626; -494; -694; 646; -16161; 2016
627; -496; -689; 640; -16179; 2014
619; -485; -694; 648; -16186; 2033
625; -492; -696; 659; -16175; 2014
637; -494; -701; 653; -16191; 2028
631; -490; -692; 643; -16181; 2022
628; -497; -696; 650; -16166; 2042
619; -490; -686; 651; -16182; 2034
627; -483; -703; 648; -16171; 2036
638; -509; -714; 642; -16192; 2027
627; -488; -698; 673; -16177; 2030
